row_id,s3_key_s,meanfreq,sd,median,q25,q75,iqr,skew,kurt,sp_ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0,1,0.181338105,0.060495115999999995,0.187475623,0.12619718300000002,0.233586132,0.107388949,0.8690878000000001,2.863716892,0.9235662579999999,0.307219558,0.21690140800000002,0.181338105,0.137742223,0.023021582999999998,0.271186441,0.77734375,0.0859375,6.2265625,6.140625,0.116585704,sad
1,2,0.186897392,0.062260334,0.195069668,0.130846731,0.24398713800000002,0.113140407,1.191767427,3.8786503619999997,0.91884764,0.298859325,0.135648446,0.186897392,0.121811357,0.018411968,0.271186441,0.930338542,0.0859375,4.0,3.9140625,0.144982762,sad
2,3,0.189102142,0.06290127599999999,0.204945295,0.131422319,0.249978118,0.118555799,1.3126902759999999,4.5899950480000005,0.91951906,0.313068592,0.264070022,0.189102142,0.123757895,0.083333333,0.262295082,0.332386364,0.0859375,0.625,0.5390625,0.334782609,sad
4,5,0.18303606100000003,0.060051263,0.17411526800000002,0.129949444,0.236966633,0.107017189,1.096408695,3.6809953810000002,0.9213614170000001,0.329295377,0.152032356,0.18303606100000003,0.128469334,0.044692737,0.258064516,1.012019231,0.0859375,5.46875,5.3828125,0.30491049800000003,sad
5,6,0.16879306,0.057910224,0.156266137,0.11678252199999999,0.21632572,0.09954319800000001,1.3868367469999998,5.031743902,0.926237688,0.33704677200000005,0.153763654,0.16879306,0.109719895,0.02247191,0.235294118,0.22879464300000002,0.09375,0.75,0.65625,0.306776557,sad
1,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-01.wav,6134.619096573832,4971.857652714122,11312.629132231405,0.0688933905819559,-578.9886,62.405308,-8.723742,13.80744,1.7894573,6.853794,-6.7793727,6134.619096573832,77.05049032445373,52.063107626740326,121.7003513670591,1.6812289,-3.129482,-0.8724672,-9.711343,-3.922256,Angry
2,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-02.wav,4555.87635347123,4131.910811906407,8682.33695652174,0.0609290081521739,-588.2538,59.247963,-8.007299,4.5422053,-1.3240751,0.973125,-9.401972,4555.87635347123,114.8712829195009,50.28964705339267,180.25009252216609,2.055398,-7.9198165,-6.6781945,-1.9953742,-2.865559,Angry
3,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-03.wav,5470.014223422788,5320.017984774013,11139.045877659575,0.0957446808510638,-653.062,87.55609,-0.48391917,21.858513,4.6849995,17.147743,-7.514381,5470.014223422788,51.314312712747785,50.0,56.12310241546865,3.4820664,-10.200921,-5.4551105,-2.633465,-4.0951796,Angry
4,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-04.wav,4850.116737314746,4208.027807111903,9083.984375,0.0697652882543103,-585.7502,52.76343,-10.84847,5.0388355,-3.4996076,-2.764649,-9.9780855,4850.116737314746,119.66007289595537,50.0,172.11028744886602,-1.513591,-9.520382,-9.057547,-5.041693,-4.5158396,Angry
5,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-05.wav,5791.790218560474,5195.901891001676,11145.209194214876,0.0658251549586776,-567.5401,77.56695,-8.457943,3.9207327,1.9460756,11.819976,-14.057415,5791.790218560474,86.78440771178185,58.43886242806228,131.19081044374488,-2.2653155,-1.5817608,-2.4103537,-5.664477,-3.5412092,Angry
6,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-06.wav,5686.654741076562,4909.030575564148,10575.609110169493,0.0846505892478813,-648.0218,63.347202,-16.731075,3.6040092,1.2166497,3.2086384,-13.740052,5686.654741076562,116.34763257754948,78.91291473386414,160.5845763726753,-3.5743408,-8.288426,-6.9835887,-2.4755275,-2.03402,Angry
7,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-07.wav,4284.969300563156,4666.49753710825,9023.562167553191,0.0541200029089095,-544.7713,73.16178,-10.358592,13.33844,4.8100553,15.029964,-13.304914,4284.969300563156,88.68333685081262,65.59540522187244,132.71517423385683,6.249742,-5.0035567,-7.414772,-1.2825497,2.6496706,Angry
8,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-08.wav,5218.101655813298,5466.214775306934,11163.725754310344,0.0597274604885057,-590.5436,67.69341,-2.1318114,9.235489,4.0921903,6.917274,-7.99332,5218.101655813298,113.13042914917716,90.64713534281104,147.25670581005258,10.75549,-3.011429,-4.380231,0.6687901,-2.6017606,Angry
9,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-09.wav,6186.892467399665,5532.547927142015,12038.059701492535,0.0526090251865671,-746.457,86.92581,3.5716078,15.467492,11.325593,24.662954,-1.4816074,6186.892467399665,51.13776933366175,50.0,67.5174973084095,3.1364393,-3.2758784,-2.1990356,-2.6134233,0.8091988,Angry
10,audio/Datasets/Emotions/Angry/03-01-05-01-01-01-10.wav,4243.71072611645,4532.3504784177285,8260.886270491803,0.1024830302254098,-553.4702,88.234634,-2.3688939,8.792578,3.0291748,6.401692,-14.07958,4243.71072611645,121.51148993353549,69.0956439983888,250.5328877248256,-0.15231356,-15.495274,-12.7613,-2.7191937,-3.6386392,Angry
